model,display_name,perturbation,severity_index,severity_label_original,n_conditions_pooled,accuracy,macro_f1,balanced_accuracy,brier,closed_to_open_rate,open_to_closed_rate,predicted_open_fraction,auc,n_predictions,support_closed,support_open,point_estimate_pooled,ci_low,ci_high,model_order,pert_order
shufflenetv2,ShuffleNetV2 x1.0,brightness,2,severe,1,0.9794177242188332,0.9563887086974544,0.937408054389326,0.0156053185304077,0.0036123567513702,0.1215715344699777,0.1294657139810174,0.9967934227978208,9377,8028,1349,0.9563887086974544,0.9346475566737308,0.9981493905064248,1,1
shufflenetv2,ShuffleNetV2 x1.0,blur,0,mild,1,0.9836834808574172,0.9664134614999692,0.9599429240061564,0.0130157524262466,0.0067264573991031,0.0733876945885841,0.1390636664178308,0.997413195771804,9377,8028,1349,0.9664134614999692,0.9485255666227774,0.993418560746536,1,2
shufflenetv2,ShuffleNetV2 x1.0,blur,1,moderate,1,0.9706729231097366,0.9359540875743392,0.905781719134992,0.0237859097936712,0.0031141006477329,0.1853224610822831,0.1198677615442039,0.993410249080036,9377,8028,1349,0.9359540875743392,0.8698911718707869,0.9893027928470968,1,2
shufflenetv2,ShuffleNetV2 x1.0,blur,2,severe,1,0.9465713981017384,0.87186162198467,0.8173905230876514,0.0486470342798318,0.0012456402590931,0.3639733135656041,0.0925669190572677,0.9669793140612748,9377,8028,1349,0.87186162198467,0.8001791305290207,0.957243353741462,1,2
shufflenetv2,ShuffleNetV2 x1.0,noise,0,mild,5,0.8561373573637624,0.461246768170066,0.5,0.1298460199965188,0.0,1.0,0.0,0.4262239906805056,46885,40140,6745,0.461246768170066,0.4423043402475161,0.4826845637583892,1,3
shufflenetv2,ShuffleNetV2 x1.0,noise,1,moderate,5,0.8550069318545377,0.4612106901683156,0.4994631558263646,0.1455988166147757,0.0013702042850024,0.9997034840622684,0.0012157406419963,0.3784239428124618,46885,40140,6745,0.4612106901683156,0.4421195794319192,0.4825085935262102,1,3
shufflenetv2,ShuffleNetV2 x1.0,noise,2,severe,5,0.7949877359496641,0.4656948231268267,0.4786572053409804,0.1691139665636101,0.0772296960637767,0.9654558932542624,0.0710888343819985,0.4971418936612885,46885,40140,6745,0.4656948231268267,0.4513574049058978,0.5077965791575738,1,3
efficientnet_b0,EfficientNet-B0,clean,-1,none,1,0.981870534286019,0.9624567358328104,0.9533335974201488,0.0140983200303018,0.0066018933731938,0.0867309117865085,0.1370374320145035,0.995354980695808,9377,8028,1349,0.9624567358328104,0.942652750323187,0.9942936572760112,2,0
efficientnet_b0,EfficientNet-B0,brightness,0,mild,1,0.9814439586221606,0.9617433014586522,0.9546262839143798,0.013833308965983,0.0077229696063776,0.0830244625648628,0.1385304468380079,0.9963416589010368,9377,8028,1349,0.9617433014586522,0.9011815647707342,0.987636824599222,2,1
efficientnet_b0,EfficientNet-B0,brightness,1,moderate,1,0.981337314706196,0.9612663605206948,0.951172009900116,0.0139938547966739,0.0064773293472845,0.0911786508524833,0.1362909246027514,0.9961968266737288,9377,8028,1349,0.9612663605206948,0.939799875162273,0.9953810325873432,2,1
efficientnet_b0,EfficientNet-B0,brightness,2,severe,1,0.9659805908072944,0.932095076785634,0.939428133851756,0.0247435206512555,0.0232934728450423,0.0978502594514455,0.1497280580142903,0.990660237353104,9377,8028,1349,0.932095076785634,0.8515027031983458,0.9950532481966748,2,1
efficientnet_b0,EfficientNet-B0,blur,0,mild,1,0.9841100565212756,0.9689332180914004,0.9870196251592368,0.0141312798225225,0.0170652715495764,0.0088954781319495,0.1571931321318118,0.99831044457815,9377,8028,1349,0.9689332180914004,0.9483981692873062,0.9923012624661324,2,2
efficientnet_b0,EfficientNet-B0,blur,1,moderate,1,0.9838967686893464,0.9676621150802508,0.972710367309672,0.0125021788140095,0.0115844544095665,0.0429948109710896,0.1475951796949984,0.9977711442124544,9377,8028,1349,0.9676621150802508,0.9242167144943598,0.9904113625812982,2,2
efficientnet_b0,EfficientNet-B0,blur,2,severe,1,0.968220113042551,0.9313259768985008,0.9055826844738744,0.023627038999361,0.0064773293472845,0.1823573017049666,0.1231737229391063,0.9941414740772012,9377,8028,1349,0.9313259768985008,0.8281786662075703,0.9675381562959536,2,2
efficientnet_b0,EfficientNet-B0,noise,0,mild,5,0.2784899221499413,0.2770821184316931,0.5014724132696422,0.6869121227391488,0.8115844544095665,0.185470719051149,0.8120081049376133,0.501089618507204,46885,40140,6745,0.2770821184316931,0.2106694464963476,0.3310195459384452,2,3
efficientnet_b0,EfficientNet-B0,noise,1,moderate,5,0.257011837474672,0.2567954557939965,0.4970079240818735,0.7348599502633416,0.8399352267065272,0.1660489251297257,0.8390743308094273,0.4879176846936389,46885,40140,6745,0.2567954557939965,0.1995006188543284,0.302954164383389,2,3
